ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE
10107,30,95.7,2,2871,2-24-2003 0:00,Shipped,1,2,2003,Motorcycles
10121,34,81.35,5,2765.9,05-07-2003 0:00,Shipped,2,5,2003,Motorcycles
10134,41,94.74,2,3884.34,07-01-2003 0:00,Shipped,3,7,2003,Motorcycles
10145,45,83.26,6,3746.7,8-25-2003 0:00,Shipped,3,8,2003,Motorcycles
10159,49,100,14,5205.27,10-10-2003 0:00,Shipped,4,10,2003,Motorcycles
10168,36,96.66,1,3479.76,10-28-2003 0:00,Shipped,4,10,2003,Motorcycles
10180,29,86.13,9,2497.77,11-11-2003 0:00,Shipped,4,11,2003,Motorcycles
10188,48,100,1,5512.32,11-18-2003 0:00,Shipped,4,11,2003,Motorcycles
10201,22,98.57,2,2168.54,12-01-2003 0:00,Shipped,4,12,2003,Motorcycles
10211,41,100,14,4708.44,1-15-2004 0:00,Shipped,1,1,2004,Motorcycles
10223,37,100,1,3965.66,2-20-2004 0:00,Shipped,1,2,2004,Motorcycles
10237,23,100,7,2333.12,04-05-2004 0:00,Shipped,2,4,2004,Motorcycles
10251,28,100,2,3188.64,5-18-2004 0:00,Shipped,2,5,2004,Motorcycles
10263,34,100,2,3676.76,6-28-2004 0:00,Shipped,2,6,2004,Motorcycles
10275,45,92.83,1,4177.35,7-23-2004 0:00,Shipped,3,7,2004,Motorcycles
10285,36,100,6,4099.68,8-27-2004 0:00,Shipped,3,8,2004,Motorcycles
10299,23,100,9,2597.39,9-30-2004 0:00,Shipped,3,9,2004,Motorcycles
10309,41,100,5,4394.38,10-15-2004 0:00,Shipped,4,10,2004,Motorcycles
10318,46,94.74,1,4358.04,11-02-2004 0:00,Shipped,4,11,2004,Motorcycles
10329,42,100,1,4396.14,11-15-2004 0:00,Shipped,4,11,2004,Motorcycles
10341,41,100,9,7737.93,11-24-2004 0:00,Shipped,4,11,2004,Motorcycles
10361,20,72.55,13,1451,12-17-2004 0:00,Shipped,4,12,2004,Motorcycles
10375,21,34.91,12,733.11,02-03-2005 0:00,Shipped,1,2,2005,Motorcycles
10388,42,76.36,4,3207.12,03-03-2005 0:00,Shipped,1,3,2005,Motorcycles
10403,24,100,7,2434.56,04-08-2005 0:00,Shipped,2,4,2005,Motorcycles
10417,66,100,2,7516.08,5-13-2005 0:00,Disputed,2,5,2005,Motorcycles
10103,26,100,11,5404.62,1-29-2003 0:00,Shipped,1,1,2003,Classic Cars
10112,29,100,1,7209.11,3-24-2003 0:00,Shipped,1,3,2003,Classic Cars
10126,38,100,11,7329.06,5-28-2003 0:00,Shipped,2,5,2003,Classic Cars
10140,37,100,11,7374.1,7-24-2003 0:00,Shipped,3,7,2003,Classic Cars
10150,45,100,8,10993.5,9-19-2003 0:00,Shipped,3,9,2003,Classic Cars
10163,21,100,1,4860.24,10-20-2003 0:00,Shipped,4,10,2003,Classic Cars
10174,34,100,4,8014.82,11-06-2003 0:00,Shipped,4,11,2003,Classic Cars
10183,23,100,8,5372.57,11-13-2003 0:00,Shipped,4,11,2003,Classic Cars
10194,42,100,11,7290.36,11-25-2003 0:00,Shipped,4,11,2003,Classic Cars
10206,47,100,6,9064.89,12-05-2003 0:00,Shipped,4,12,2003,Classic Cars
10215,35,100,3,6075.3,1-29-2004 0:00,Shipped,1,1,2004,Classic Cars
10228,29,100,2,6463.23,03-10-2004 0:00,Shipped,1,3,2004,Classic Cars
10245,34,100,9,6120.34,05-04-2004 0:00,Shipped,2,5,2004,Classic Cars
10258,32,100,6,7680.64,6-15-2004 0:00,Shipped,2,6,2004,Classic Cars
10270,21,100,9,4905.39,7-19-2004 0:00,Shipped,3,7,2004,Classic Cars
10280,34,100,2,8014.82,8-17-2004 0:00,Shipped,3,8,2004,Classic Cars
10291,37,100,11,7136.19,09-08-2004 0:00,Shipped,3,9,2004,Classic Cars
10304,47,100,6,10172.7,10-11-2004 0:00,Shipped,4,10,2004,Classic Cars
10312,48,100,3,11623.7,10-21-2004 0:00,Shipped,4,10,2004,Classic Cars
10322,40,100,1,6000.4,11-04-2004 0:00,Shipped,4,11,2004,Classic Cars
10333,26,100,3,3003,11-18-2004 0:00,Shipped,4,11,2004,Classic Cars
10347,30,100,1,3944.7,11-29-2004 0:00,Shipped,4,11,2004,Classic Cars
10357,32,100,10,5691.84,12-10-2004 0:00,Shipped,4,12,2004,Classic Cars
10369,41,100,2,4514.92,1-20-2005 0:00,Shipped,1,1,2005,Classic Cars
10381,36,100,3,8254.8,2-17-2005 0:00,Shipped,1,2,2005,Classic Cars
10391,24,100,4,2416.56,03-09-2005 0:00,Shipped,1,3,2005,Classic Cars
